candidate_no,phrase,content_window,mechanism,tone_shade,source_type,source_work,source_creator,source_url,risk_note,status,review_note
1,晾衣杆余热,late_summer,life_slice,light,original,,,,,pending,
2,杯底一圈夜,evergreen,strange_compound,dark,original,,,,,pending,
3,路口卖青梨,late_summer,life_slice,light,original,,,,,pending,
4,五点影子满三阶,late_summer,abstract_compression,light,original,,,,,pending,
5,对面窗未眠,evergreen,life_slice,dark,original,,,,,pending,
6,桃汁沾住零钱,late_summer,life_slice,light,original,,,,,pending,
7,耳机漏出歌,evergreen,life_slice,light,original,,,,,pending,
8,一阵雨两站归途,late_summer,abstract_compression,light,original,,,,,pending,
9,旧扇吱呀转,late_summer,life_slice,dark,original,,,,,pending,
10,钥匙落进碗,evergreen,life_slice,light,original,,,,,pending,
11,蝉声漏一拍,late_summer,life_slice,light,original,,,,,pending,
12,夜色返潮,late_summer,strange_compound,dark,original,,,,,pending,
13,台灯偏照旧书脊,evergreen,life_slice,light,original,,,,,pending,
14,返程袋漏香,late_summer,life_slice,light,original,,,,,pending,
15,竹椅留人形,late_summer,life_slice,light,original,,,,,pending,
16,白昼退一寸,late_summer,abstract_compression,light,original,,,,,pending,
17,窗外的麻雀,evergreen,life_slice,light,user_seed,七里香,发行/表演名义：周杰伦；词作者：方文山（用户提供，现有来源未独立核验）,https://music.apple.com/cn/album/%E4%B8%83%E9%87%8C%E9%A6%99/536114662?i=536115195,截断歌词致敬；方文山作词为用户提供署名，当前参考台账所引 Apple Music 页面未独立列出词作者；商业使用前需补充权威作词来源并复核授权风险。,pending,
18,荔枝核滚远,late_summer,life_slice,light,original,,,,,pending,
19,半碗面凉透,evergreen,life_slice,dark,original,,,,,pending,
20,帆布鞋藏柏油热,late_summer,strange_compound,light,original,,,,,pending,
21,楼上挪椅子,evergreen,life_slice,light,original,,,,,pending,
22,热意绕过零点,late_summer,abstract_compression,dark,original,,,,,pending,
23,雨鞋排门口,late_summer,life_slice,light,original,,,,,pending,
24,油烟入夜,late_summer,life_slice,light,original,,,,,pending,
25,车票沾着汗,late_summer,life_slice,light,original,,,,,pending,
26,黄昏借走两度,late_summer,abstract_compression,light,original,,,,,pending,
27,枕边一股风,late_summer,life_slice,light,original,,,,,pending,
28,霓虹灯管隔窗嗡,evergreen,life_slice,dark,original,,,,,pending,
29,凉意晚点,late_summer,abstract_compression,light,original,,,,,pending,
30,碗沿磕掉角,evergreen,life_slice,light,original,,,,,pending,
31,末班车还烫,late_summer,life_slice,dark,original,,,,,pending,
32,指尖都是桃,late_summer,life_slice,light,original,,,,,pending,
33,外卖袋鼓风,evergreen,life_slice,light,original,,,,,pending,
34,昼夜隔着薄衫,late_summer,abstract_compression,dark,original,,,,,pending,
35,猫睡摩托座,late_summer,life_slice,light,original,,,,,pending,
36,门把手微凉,evergreen,life_slice,light,original,,,,,pending,
