id,phrase,english,sourceTheme,evidence,sourceId,sourceCategory,rightsStatus,reviewBasis,decision,reviewCode,lifecycle,proposedPhrase,proposedEnglish,editorialTheme,emotionTheme,semanticCluster,cadenceGroup,englishStatus,dispatchStatus,dispatchConstraint,reviewerNote,reviewReason
sb_1,今日锦鲤,"Lucky koi, today",好运祝福,official_text,S01,external_observed,external_source_recorded_no_clearance_claim,fresh_initial_content_review,retire,awkward_or_generic,retired,,,blessing,luck_blessing,daily_observation,short_blessing,archived,rule,[],,退出：表达生硬、偏泛或缺少可感知的画面与关系
sb_2,文艺青年,Artsy soul,身份标签,official_text,S01,external_observed,external_source_recorded_no_clearance_claim,fresh_initial_content_review,keep,approved_initial,active,,,wordplay,playful_meme,playful_wordplay,wordplay_social,approved,rule,[],,保留：短句自然，有人味，能在静屏上独立成立
sb_3,都挺好,All's well enough,流行文化与安慰,official_text,S01,external_observed,external_source_recorded_no_clearance_claim,fresh_initial_content_review,keep,approved_initial,active,,,wordplay,playful_meme,playful_wordplay,wordplay_social,approved,rule,[],,保留：短句自然，有人味，能在静屏上独立成立
sb_4,小天使啊,Little angel,亲昵身份,reported_order,S02,external_observed,external_source_recorded_no_clearance_claim,fresh_initial_content_review,retire,context_or_ip_dependency,retired,,,wordplay,playful_meme,playful_wordplay,wordplay_social,archived,rule,[],,退出：依赖身份、IP、联名、方言或网络语境，离开原场景后失真
sb_5,能力不嫌多,Skills never hurt,鼓励,reported_test,S03,external_observed,external_source_recorded_no_clearance_claim,fresh_initial_content_review,retire,slogan_or_template,retired,,,daily_observation,daily_romance,daily_observation,stance_sentence,archived,rule,[],,退出：广告、励志口号或社交媒体模板感过强
sb_6,锦鲤本鲤,Koi incarnate,好运身份,reported_ugc,S04,external_observed,external_source_recorded_no_clearance_claim,fresh_initial_content_review,retire,context_or_ip_dependency,retired,,,wordplay,playful_meme,playful_wordplay,wordplay_social,archived,rule,[],,退出：依赖身份、IP、联名、方言或网络语境，离开原场景后失真
sb_7,凌波微步,Light on water,武侠玩梗,reported_ugc,S04,external_observed,external_source_recorded_no_clearance_claim,fresh_initial_content_review,retire,context_or_ip_dependency,retired,,,wordplay,playful_meme,playful_wordplay,wordplay_social,archived,rule,[],,退出：依赖身份、IP、联名、方言或网络语境，离开原场景后失真
sb_8,魅力四射,Radiant charm,自我肯定,reported_ugc,S04,external_observed,external_source_recorded_no_clearance_claim,fresh_initial_content_review,retire,awkward_or_generic,retired,,,self_stance,light_comfort,daily_observation,short_state,archived,rule,[],,退出：表达生硬、偏泛或缺少可感知的画面与关系
sb_9,这么优秀,So brilliant,自我肯定,reported_ugc,S04,external_observed,external_source_recorded_no_clearance_claim,fresh_initial_content_review,keep,approved_initial,active,,,self_stance,light_comfort,daily_observation,short_state,approved,rule,[],,保留：短句自然，有人味，能在静屏上独立成立
sb_10,鸟语蝉鸣,Birdsong and cicada hum,季节景象,reported_ugc,S04,external_observed,external_source_recorded_no_clearance_claim,fresh_initial_content_review,keep,approved_initial,active,,,seasonal_image,daily_romance,seasonal_nature,short_image,approved,rule,"[""season:summer"", ""season:autumn""]",,保留：具体物象和季节触感能独立承载情绪
sb_11,别人家孩子,That golden child,身份玩梗,reported_ugc,S04,external_observed,external_source_recorded_no_clearance_claim,fresh_initial_content_review,retire,context_or_ip_dependency,retired,,,wordplay,playful_meme,playful_wordplay,wordplay_social,archived,rule,[],,退出：依赖身份、IP、联名、方言或网络语境，离开原场景后失真
sb_12,突然开心,Sudden joy,即时心情,reported_ugc,S04,external_observed,external_source_recorded_no_clearance_claim,fresh_initial_content_review,keep,approved_initial,active,,,daily_mood,daily_romance,daily_mood,mood_state,approved,rule,[],,保留：短句自然，有人味，能在静屏上独立成立
sb_13,喜欢夏天,Loving summer,季节心情,reported_ugc,S04,external_observed,external_source_recorded_no_clearance_claim,fresh_initial_content_review,keep,approved_initial,active,,,seasonal_image,daily_romance,seasonal_nature,short_plain,approved,rule,"[""season:summer""]",,保留：具体物象和季节触感能独立承载情绪
sb_17,屠龙刀,Dragon-slaying blade,武侠玩梗,article_example,S04,external_observed,external_source_recorded_no_clearance_claim,fresh_initial_content_review,retire,context_or_ip_dependency,retired,,,wordplay,playful_meme,playful_wordplay,wordplay_social,archived,rule,[],,退出：依赖身份、IP、联名、方言或网络语境，离开原场景后失真
sb_20,蔚蓝海面,An azure sea,夏日景象,reported_observation,S05,external_observed,external_source_recorded_no_clearance_claim,fresh_initial_content_review,keep,approved_initial,active,,,seasonal_image,daily_romance,distance_landscape,short_image,approved,rule,[],,保留：具体物象和季节触感能独立承载情绪
sb_21,去潜水吧,Go dive,夏日行动,reported_observation,S05,external_observed,external_source_recorded_no_clearance_claim,fresh_initial_content_review,keep,approved_initial,active,,,seasonal_image,daily_romance,distance_landscape,departure_action,approved,rule,[],无说教感 和夏天契合,保留：具体物象和季节触感能独立承载情绪
sb_22,万物生长,All things growing,自然季节,reported_observation,S05,external_observed,external_source_recorded_no_clearance_claim,fresh_initial_content_review,keep,approved_initial,active,,,seasonal_image,daily_romance,seasonal_nature,short_plain,approved,rule,[],,保留：具体物象和季节触感能独立承载情绪
sb_23,水上乐园,Water park dreams,夏日场景,reported_observation,S05,external_observed,external_source_recorded_no_clearance_claim,fresh_initial_content_review,keep,approved_initial,active,,,seasonal_image,daily_romance,seasonal_nature,short_plain,approved,rule,[],有无意义感，和夏天契合,保留：具体物象和季节触感能独立承载情绪
sb_25,唯快不破,Speed wins all,速度与武侠,reported_example,S06,external_observed,external_source_recorded_no_clearance_claim,fresh_initial_content_review,retire,slogan_or_template,retired,,,wordplay,playful_meme,playful_wordplay,wordplay_social,archived,rule,[],,退出：广告、励志口号或社交媒体模板感过强
sb_26,他夏了夏天,He summered summer,歌曲与季节,reported_image,S07,external_observed,external_source_recorded_no_clearance_claim,fresh_initial_content_review,keep,approved_initial,active,夏了夏天,Summer in full swing,seasonal_image,daily_romance,seasonal_nature,short_plain,approved,rule,"[""season:summer""]",夏了夏天,保留：具体物象和季节触感能独立承载情绪
sb_29,乌云散开,Clouds begin to part,治愈鼓励,reported_ugc,S07,external_observed,external_source_recorded_no_clearance_claim,fresh_initial_content_review,keep,approved_initial,active,,,landscape,daily_romance,sky_wind,short_image,approved,rule,[],,保留：具体物象和季节触感能独立承载情绪
sb_31,烦恼退散,Worries scatter,治愈祝福,reported_ugc,S07,external_observed,external_source_recorded_no_clearance_claim,fresh_initial_content_review,keep,approved_initial,active,,,blessing,luck_blessing,daily_observation,short_blessing,approved,rule,[],,保留：作为初始好运签简短自然，未因假定曝光而降级
sb_32,人间值得,The world still holds you,治愈肯定,reported_ugc,S07,external_observed,external_source_recorded_no_clearance_claim,fresh_initial_content_review,keep,approved_initial,active,,,rest,light_comfort,daily_observation,short_state,approved,rule,[],,保留：给出轻安顿或时间观察，没有要求读者表态
sb_33,奥利给,Let's go!,网络流行语,reported_ugc,S08,external_observed,external_source_recorded_no_clearance_claim,fresh_initial_content_review,retire,context_or_ip_dependency,retired,,,wordplay,playful_meme,playful_wordplay,wordplay_social,archived,rule,[],,退出：依赖身份、IP、联名、方言或网络语境，离开原场景后失真
sb_34,妙啊妙啊,"Nice, so nice",网络口语,reported_ugc,S08,external_observed,external_source_recorded_no_clearance_claim,fresh_initial_content_review,keep,approved_initial,active,,,wordplay,playful_meme,playful_wordplay,wordplay_social,approved,rule,[],有莫名喜感,保留：短句自然，有人味，能在静屏上独立成立
sb_37,重启试试,Reboot and try,日常玩梗,reported_image,S09,external_observed,external_source_recorded_no_clearance_claim,fresh_initial_content_review,keep,approved_initial,active,,,wordplay,playful_meme,playful_wordplay,wordplay_social,approved,rule,[],,保留：短句自然，有人味，能在静屏上独立成立
sb_39,最是一年春好处,Spring at its finest,春季诗意,reported_image,S09,external_observed,external_source_recorded_no_clearance_claim,fresh_initial_content_review,keep,approved_initial,active,,,seasonal_image,daily_romance,seasonal_nature,time_observation,approved,manual,"[""season:spring""]",春天限定,保留：具体物象和季节触感能独立承载情绪
sb_40,新一年总晴天,Sunny year ahead,新年祝福,reported_image,S09,external_observed,external_source_recorded_no_clearance_claim,fresh_initial_content_review,retire,awkward_or_generic,retired,,,blessing,luck_blessing,time_reflection,time_observation,archived,rule,"[""festival:spring_festival""]",,退出：表达生硬、偏泛或缺少可感知的画面与关系
sb_41,冬日暖阳,Warm winter sun,冬季温暖,reported_image,S09,external_observed,external_source_recorded_no_clearance_claim,fresh_initial_content_review,keep,approved_initial,active,,,seasonal_image,daily_romance,seasonal_nature,short_plain,approved,manual,"[""season:winter""]",冬天限定,保留：具体物象和季节触感能独立承载情绪
sb_42,月是秋夜明,"Autumn moon, bright night",秋夜诗意,reported_image,S09,external_observed,external_source_recorded_no_clearance_claim,fresh_initial_content_review,keep,approved_initial,active,,,seasonal_image,daily_romance,seasonal_nature,landscape_image,approved,manual,"[""festival:mid_autumn""]",中秋节日限定,保留：具体物象和季节触感能独立承载情绪
sb_43,秋天开始喝暖饮,"Warm drinks, autumn starts",秋季饮品,reported_image,S09,external_observed,external_source_recorded_no_clearance_claim,fresh_initial_content_review,retire,low_signal_or_narrow,retired,,,seasonal_image,daily_romance,seasonal_nature,medium_plain,archived,rule,"[""season:autumn""]",,退出：独立成签的信息量不足，或场景过窄
sb_45,美好拉开帷幕,Beauty takes the stage,希望鼓励,reported_image,S09,external_observed,external_source_recorded_no_clearance_claim,fresh_initial_content_review,keep,approved_initial,active,,,daily_observation,daily_romance,daily_observation,medium_state,approved,rule,[],,保留：短句自然，有人味，能在静屏上独立成立
sb_49,平安喜乐,Peace and joy,平安祝福,reported_image,S09,external_observed,external_source_recorded_no_clearance_claim,fresh_initial_content_review,keep,approved_initial,active,,,blessing,luck_blessing,blessing_wish,blessing_parallel,approved,manual,"[""festival:spring_festival""]",春节限定,保留：作为初始好运签简短自然，未因假定曝光而降级
sb_50,财神到家,Fortune at the door,财运祝福,reported_image,S09,external_observed,external_source_recorded_no_clearance_claim,fresh_initial_content_review,keep,approved_initial,active,,,blessing,luck_blessing,blessing_wish,short_blessing,approved,manual,"[""festival:spring_festival""]",春节限定,保留：作为初始好运签简短自然，未因假定曝光而降级
sb_51,岁岁常欢愉,"Joy, year after year",长久祝福,reported_image,S09,external_observed,external_source_recorded_no_clearance_claim,fresh_initial_content_review,keep,approved_initial,active,,,blessing,luck_blessing,daily_observation,medium_blessing,approved,manual,"[""festival:spring_festival""]",春节限定,保留：作为初始好运签简短自然，未因假定曝光而降级
sb_52,年年皆胜意,May each year exceed your hopes,长久祝福,reported_image,S09,external_observed,external_source_recorded_no_clearance_claim,fresh_initial_content_review,keep,approved_initial,active,,,blessing,luck_blessing,blessing_wish,blessing_parallel,approved,manual,"[""festival:spring_festival""]",春节限定,保留：作为初始好运签简短自然，未因假定曝光而降级
sb_53,暴富暴瘦暴酷,"Rich, lean, cool",夸张祝福,reported_image,S09,external_observed,external_source_recorded_no_clearance_claim,fresh_initial_content_review,keep,approved_initial,active,,,blessing,luck_blessing,daily_observation,medium_blessing,approved,rule,[],祝福,保留：作为初始好运签简短自然，未因假定曝光而降级
sb_58,笑出强大,Laugh with power,鼓励玩梗,reported_image,S09,external_observed,external_source_recorded_no_clearance_claim,fresh_initial_content_review,retire,slogan_or_template,retired,,,wordplay,playful_meme,playful_wordplay,wordplay_social,archived,rule,[],,退出：广告、励志口号或社交媒体模板感过强
sb_59,最靓的仔,Coolest one around,身份自夸,reported_image,S09,external_observed,external_source_recorded_no_clearance_claim,fresh_initial_content_review,retire,context_or_ip_dependency,retired,,,wordplay,playful_meme,playful_wordplay,wordplay_social,archived,rule,[],,退出：依赖身份、IP、联名、方言或网络语境，离开原场景后失真
sb_60,Hi走啦,"Hi, I'm off",口语玩梗,reported_image,S09,external_observed,external_source_recorded_no_clearance_claim,fresh_initial_content_review,keep,approved_initial,active,,,wordplay,playful_meme,playful_wordplay,wordplay_social,approved,rule,[],有莫名喜感,保留：短句自然，有人味，能在静屏上独立成立
sb_61,是最喜欢的秋天啊,Favorite season: fall,秋季心情,reported_example,S10,external_observed,external_source_recorded_no_clearance_claim,fresh_initial_content_review,keep,approved_initial,active,,,seasonal_image,daily_romance,seasonal_nature,long_sentence,approved,rule,"[""season:autumn""]",,保留：具体物象和季节触感能独立承载情绪
sb_64,天选之子,Chosen one,好运身份,reported_example,S10,external_observed,external_source_recorded_no_clearance_claim,fresh_initial_content_review,keep,approved_initial,active,,,wordplay,playful_meme,playful_wordplay,wordplay_social,approved,rule,[],有莫名喜感,保留：短句自然，有人味，能在静屏上独立成立
