id,text,source_type,era,emotion_theme,intent,tone,scene,imagery,energy_level,speak_score,sign_feel,delivery_score,distinct_score,total_score,confidence,layer,editor_note
orc_001,不必赶,oraculo_v2,daily_softness,light_comfort,hold,light,commute,none_minimal,low,5,5,5,5,20,core,anchor,v1保留；极短留白
orc_002,先缓一缓,oraculo_v2,daily_softness,light_comfort,soothe,calm,work_pause,inner_state,low,5,4,5,4,18,core,anchor,v1保留
orc_003,此刻够用了,oraculo_v2,daily_softness,light_comfort,hold,tender,decision_wait,inner_state,low,5,5,5,5,20,core,anchor,时间锚；非「够好」模板
orc_004,轻轻放过,oraculo_v2,daily_softness,light_comfort,soothe,tender,after_setback,inner_state,low,5,4,5,5,19,core,anchor,动作+留白
orc_005,不必回话,oraculo_v2,daily_softness,light_comfort,hold,cool,work_pause,daily_life,low,5,4,5,5,19,core,anchor,生活权限；非鸡汤
orc_006,雨声在窗外,oraculo_v2,daily_softness,light_comfort,mirror,calm,late_night,season_weather,low,5,4,5,5,19,core,active,画面；可投射
orc_007,热水还在,oraculo_v2,daily_softness,light_comfort,hold,warm,self_time,daily_life,low,5,4,5,5,19,core,active,物象；不说治愈
orc_008,灯还亮着,oraculo_v2,daily_softness,light_comfort,hold,light,late_night,wind_light,low,5,5,5,4,19,core,active,余韵；非「光在前方」
orc_009,房间够静,oraculo_v2,daily_softness,light_comfort,soothe,calm,self_time,inner_state,low,5,4,4,5,18,core,active,触感
orc_010,空椅还暖,oraculo_v2,daily_softness,light_comfort,mirror,tender,self_time,daily_life,low,4,4,5,5,18,core,active,缺席的在场
orc_011,风会转向,oraculo_v2,daily_softness,soft_hope,nudge,light,after_setback,wind_light,mid,5,5,4,5,19,core,anchor,v1保留；过程
orc_012,再等一小会儿,oraculo_v2,daily_softness,soft_hope,hold,calm,decision_wait,inner_state,low,5,5,4,4,18,core,active,v1保留
orc_013,天色将起未起,oraculo_v2,daily_softness,soft_hope,mirror,light,season_change,season_weather,low,4,4,5,5,18,core,active,未完成；想象空间
orc_014,云后还有路,oraculo_v2,daily_softness,soft_hope,nudge,light,restart,road_distance,mid,5,4,5,5,19,core,active,暗示非保证
orc_015,雨会停一阵,oraculo_v2,daily_softness,soft_hope,hold,calm,rainy_day,season_weather,low,5,4,5,5,19,core,active,过程句
orc_016,信未拆封,oraculo_v2,daily_softness,soft_hope,mirror,calm,decision_wait,daily_life,low,5,5,5,5,20,core,anchor,悬念留白
orc_017,种子在土里,oraculo_v2,daily_softness,soft_hope,hold,warm,season_change,season_weather,low,4,4,4,5,17,good,active,酝酿；非「好事将至」
orc_018,门缝有风,oraculo_v2,daily_softness,soft_hope,mirror,light,self_time,wind_light,low,5,4,5,5,19,core,active,细小出口
orc_019,路边有光,oraculo_v2,daily_softness,daily_romance,mirror,bright,rainy_day,wind_light,low,5,5,4,5,19,core,anchor,v1保留；局部光
orc_020,风里有春天,oraculo_v2,daily_softness,daily_romance,delight,light,season_change,wind_light,low,5,5,4,4,18,core,anchor,v1保留
orc_021,阳光刚好路过,oraculo_v2,daily_softness,daily_romance,delight,tender,self_time,wind_light,low,5,4,4,5,18,core,active,v1保留；拟人轻
orc_022,今天适合慢走,oraculo_v2,daily_softness,daily_romance,hold,calm,commute,daily_life,low,5,4,4,4,17,core,active,v1保留
orc_023,寻常也温柔,oraculo_v2,daily_softness,daily_romance,mirror,tender,self_time,daily_life,low,4,4,4,4,16,good,active,v1保留
orc_024,茶凉了半截,oraculo_v2,daily_softness,daily_romance,mirror,calm,self_time,daily_life,low,5,4,5,5,19,core,active,生活切片
orc_025,袖口有风,oraculo_v2,daily_softness,daily_romance,delight,light,commute,wind_light,low,5,5,5,5,20,core,anchor,身体感
orc_026,巷口红褪色,oraculo_v2,daily_softness,daily_romance,mirror,light,rainy_day,daily_life,low,4,4,5,5,18,core,active,颜色记忆
orc_027,晾衣绳在晃,oraculo_v2,daily_softness,daily_romance,delight,light,self_time,daily_life,low,5,4,4,5,18,core,active,日常动
orc_028,电车开窗,oraculo_v2,daily_softness,daily_romance,hold,light,commute,daily_life,mid,5,4,4,5,18,core,active,动作瞬间
orc_029,不必再证明,oraculo_v2,daily_softness,quiet_mirror,soothe,cool,work_pause,inner_state,mid,5,4,5,5,19,core,anchor,v1保留；非「够好」
orc_030,名字不必说,oraculo_v2,daily_softness,quiet_mirror,hold,calm,self_time,inner_state,low,5,5,5,5,20,core,anchor,私密留白
orc_031,镜子起雾,oraculo_v2,daily_softness,quiet_mirror,mirror,tender,self_time,daily_life,low,5,4,5,5,19,core,active,画面；未说破
orc_032,旧调还在,oraculo_v2,daily_softness,quiet_mirror,mirror,warm,late_night,inner_state,low,5,4,5,4,18,core,active,时间层
orc_033,雪落无声处,oraculo_v2,daily_softness,quiet_mirror,mirror,calm,season_change,season_weather,low,4,4,5,5,18,core,active,克制诗意
orc_034,话到嘴边停,oraculo_v2,daily_softness,quiet_mirror,hold,light,decision_wait,inner_state,low,5,4,5,5,19,core,active,未说出
orc_035,这样也可以,oraculo_v2,daily_softness,quiet_mirror,hold,calm,self_time,none_minimal,low,5,4,4,4,17,core,active,接纳；非「够好」
orc_036,先走再说,oraculo_v2,daily_softness,gentle_departure,nudge,light,restart,road_distance,mid,5,5,4,5,19,core,active,v1保留
orc_037,慢慢走也行,oraculo_v2,daily_softness,gentle_departure,hold,calm,restart,road_distance,low,5,5,5,4,19,core,active,v1保留
orc_038,走一步也好,oraculo_v2,daily_softness,gentle_departure,nudge,tender,restart,road_distance,low,5,4,5,4,18,core,active,v1保留
orc_039,鞋带系好了,oraculo_v2,daily_softness,gentle_departure,mirror,light,restart,daily_life,low,5,4,5,5,19,core,active,小动作启程
orc_040,门把手还凉,oraculo_v2,daily_softness,gentle_departure,mirror,calm,restart,daily_life,low,5,4,5,5,19,core,active,触感；门槛
orc_041,台阶共三级,oraculo_v2,daily_softness,gentle_departure,hold,light,restart,road_distance,low,4,4,5,5,18,core,active,可数；想象空间
orc_042,回头也不迟,oraculo_v2,daily_softness,gentle_departure,hold,warm,decision_wait,road_distance,low,5,4,5,4,18,core,active,非催促出发
orc_043,路还在脚下,oraculo_v2,daily_softness,gentle_departure,mirror,calm,decision_wait,road_distance,low,4,4,4,4,16,good,active,v1保留
orc_044,今晚可以慢,oraculo_v2,daily_softness,light_comfort,hold,calm,late_night,inner_state,low,5,4,5,4,18,core,active,时段许可
orc_045,目光放远一点,oraculo_v2,daily_softness,light_comfort,nudge,light,decision_wait,none_minimal,low,4,3,4,5,16,good,active,7字；非说教
orc_046,心事先搁着,oraculo_v2,daily_softness,light_comfort,soothe,calm,work_pause,inner_state,low,5,4,5,4,18,core,active,搁置非治愈
orc_047,页角折好了,oraculo_v2,daily_softness,quiet_mirror,mirror,tender,self_time,daily_life,low,4,4,5,5,18,core,active,阅读隐喻
orc_048,钟走半拍慢,oraculo_v2,daily_softness,light_comfort,mirror,light,self_time,inner_state,low,4,4,5,5,18,core,active,时间触感
orc_049,影子拉很长,oraculo_v2,daily_softness,daily_romance,mirror,light,season_change,wind_light,low,5,4,5,5,19,core,active,傍晚画面
orc_050,云低人不急,oraculo_v2,daily_softness,soft_hope,hold,calm,commute,season_weather,low,5,4,5,5,19,core,anchor,天气+心态；非保证
