phrase,theme_hint,source_type,source_note,status,rewrite_note
等雨收声,季节画面,GEN6,基于第一轮保留语句扩展·雨后,candidate,
雨停再走,季节画面,GEN6,基于第一轮保留语句扩展·雨后,accepted,用户第二轮选中
一窗雨声,诗性意象,GEN6,基于第一轮保留语句扩展·雨后,candidate,
雨在檐前,季节画面,GEN6,基于第一轮保留语句扩展·雨后,candidate,
雨后清光,前路祝福,GEN6,基于第一轮保留语句扩展·雨后,candidate,
雨把路洗亮,前路祝福,GEN6,基于第一轮保留语句扩展·雨后,candidate,
云低处有雨,诗性意象,GEN6,基于第一轮保留语句扩展·雨后,candidate,
等风吹干雨,季节画面,GEN6,基于第一轮保留语句扩展·雨后,candidate,
雨后风很轻,治愈劝慰,GEN6,基于第一轮保留语句扩展·雨后,candidate,
雨把暑气放下,治愈劝慰,GEN6,基于第一轮保留语句扩展·雨后,candidate,
长街有风,旅途浪漫,GEN6,基于第一轮保留语句扩展·风路,candidate,
风过小巷,旅途浪漫,GEN6,基于第一轮保留语句扩展·风路,candidate,
晚风过桥,旅途浪漫,GEN6,基于第一轮保留语句扩展·风路,candidate,
一身晚风,生活浪漫,GEN6,基于第一轮保留语句扩展·风路,candidate,
风在路口等,诗性意象,GEN6,基于第一轮保留语句扩展·风路,candidate,
风把街吹远,诗性意象,GEN6,基于第一轮保留语句扩展·风路,candidate,
风从袖口经过,生活浪漫,GEN6,基于第一轮保留语句扩展·风路,candidate,
把路让给风,生活态度,GEN6,基于第一轮保留语句扩展·风路,candidate,
风里有人归,相见温情,GEN6,基于第一轮保留语句扩展·风路,candidate,
风把影子吹浅,季节画面,GEN6,基于第一轮保留语句扩展·风路,candidate,
听见长夏,季节画面,GEN6,基于第一轮保留语句扩展·蝉与长昼,candidate,
一树蝉声,季节画面,GEN6,基于第一轮保留语句扩展·蝉与长昼,candidate,
蝉声入耳,季节画面,GEN6,基于第一轮保留语句扩展·蝉与长昼,candidate,
长昼有回声,诗性意象,GEN6,基于第一轮保留语句扩展·蝉与长昼,candidate,
长日慢收,季节画面,GEN6,基于第一轮保留语句扩展·蝉与长昼,candidate,
夏意未满,季节心情,GEN6,基于第一轮保留语句扩展·蝉与长昼,candidate,
夏意正半熟,季节心情,GEN6,基于第一轮保留语句扩展·蝉与长昼,candidate,
日光有余,诗性意象,GEN6,基于第一轮保留语句扩展·蝉与长昼,candidate,
把午后听完,生活态度,GEN6,基于第一轮保留语句扩展·蝉与长昼,candidate,
长夏在树上,季节画面,GEN6,基于第一轮保留语句扩展·蝉与长昼,candidate,
汗水很亮,状态鼓励,GEN6,基于第一轮保留语句扩展·汗与光,candidate,
汗也有光,状态鼓励,GEN6,基于第一轮保留语句扩展·汗与光,candidate,
走到发光,行动鼓励,GEN6,基于第一轮保留语句扩展·汗与光,candidate,
眉间有光,自我肯定,GEN6,基于第一轮保留语句扩展·汗与光,candidate,
光在肩上,状态鼓励,GEN6,基于第一轮保留语句扩展·汗与光,candidate,
汗珠藏着光,状态鼓励,GEN6,基于第一轮保留语句扩展·汗与光,candidate,
热气里有光,状态鼓励,GEN6,基于第一轮保留语句扩展·汗与光,candidate,
一步一阵光,行动鼓励,GEN6,基于第一轮保留语句扩展·汗与光,candidate,
路晒得发亮,前路祝福,GEN6,基于第一轮保留语句扩展·汗与光,candidate,
盛夏替你作证,自我肯定,GEN6,基于第一轮保留语句扩展·汗与光,candidate,
歇一歇,从容劝慰,GEN6,基于第一轮保留语句扩展·歇一歇,candidate,
慢慢歇,从容劝慰,GEN6,基于第一轮保留语句扩展·歇一歇,candidate,
先歇一下,从容劝慰,GEN6,基于第一轮保留语句扩展·歇一歇,candidate,
坐到风来,治愈劝慰,GEN6,基于第一轮保留语句扩展·歇一歇,candidate,
不赶这一程,从容劝慰,GEN6,基于第一轮保留语句扩展·歇一歇,candidate,
晚点也好,从容劝慰,GEN6,基于第一轮保留语句扩展·歇一歇,candidate,
心事先歇脚,治愈劝慰,GEN6,基于第一轮保留语句扩展·歇一歇,candidate,
在树下歇会儿,从容劝慰,GEN6,基于第一轮保留语句扩展·歇一歇,candidate,
先和自己坐会儿,从容劝慰,GEN6,基于第一轮保留语句扩展·歇一歇,candidate,
把心放在树影里,治愈劝慰,GEN6,基于第一轮保留语句扩展·歇一歇,candidate,
偷得浮生半日凉,生活态度,GEN6,基于第一轮保留语句扩展·轻巧口令,accepted,用户第二轮改写选中；原句：偷半日凉
偷一点风,口语玩梗,GEN6,基于第一轮保留语句扩展·轻巧口令,candidate,
偷来一口凉,口语玩梗,GEN6,基于第一轮保留语句扩展·轻巧口令,candidate,
快乐上冰,即时心情,GEN6,基于第一轮保留语句扩展·轻巧口令,candidate,
快乐冒泡,即时心情,GEN6,基于第一轮保留语句扩展·轻巧口令,accepted,用户第二轮改写选中；与主候选第95条同文，合并入库时去重
好事加冰,美好祝福,GEN6,基于第一轮保留语句扩展·轻巧口令,candidate,
好运冰一下,美好祝福,GEN6,基于第一轮保留语句扩展·轻巧口令,candidate,
给烦恼降温,治愈劝慰,GEN6,基于第一轮保留语句扩展·轻巧口令,candidate,
风来添杯,咖啡谐音与好运,GEN6,基于第一轮保留语句扩展·轻巧口令,candidate,
续杯晚风,咖啡谐音与好运,GEN6,基于第一轮保留语句扩展·轻巧口令,candidate,
