id,text,source_type,era,emotion_theme,intent,tone,scene,imagery,energy_level,speak_score,sign_feel,delivery_score,distinct_score,total_score,confidence,layer,editor_note
gen_000001,宇宙会拥抱你,generated_candidate,daily_softness,light_comfort,bless,warm,self_time,gift_luck,low,4,4,3,2,13,borderline,lab,熟语疗愈；可取单，不宜anchor
gen_000002,你值得被温柔,generated_candidate,daily_softness,light_comfort,bless,tender,self_time,gift_luck,low,4,3,3,2,12,borderline,lab,模板疗愈；降lab
gen_000008,治愈正在发生,generated_candidate,daily_softness,light_comfort,hold,warm,restart,gift_luck,low,4,4,3,3,14,good,lab,正在发生结构；控密度
gen_000015,美好就在前方,generated_candidate,daily_softness,soft_hope,bless,bright,restart,road_distance,mid,4,4,3,2,13,borderline,lab,路上类换皮；控密度
gen_000016,你终将遇见光,generated_candidate,daily_softness,soft_hope,bless,bright,decision_wait,wind_light,mid,3,3,3,2,11,borderline,lab,略书面；可取单但不优
gen_000017,希望不会缺席,generated_candidate,daily_softness,soft_hope,hold,warm,decision_wait,inner_state,low,3,3,3,2,11,borderline,lab,抽象；签感一般
gen_000018,好运马上就来,generated_candidate,daily_softness,soft_hope,bless,bright,decision_wait,gift_luck,mid,4,4,3,2,13,borderline,lab,好事将至同类
gen_000022,光明就在前方,generated_candidate,daily_softness,soft_hope,bless,bright,restart,wind_light,mid,3,3,3,2,11,borderline,lab,模板化
gen_000027,微光稍后会到,generated_candidate,daily_softness,soft_hope,bless,bright,restart,wind_light,mid,4,4,3,3,14,good,lab,微光类；新鲜度中
gen_000029,月光轻拂心事,generated_candidate,daily_softness,daily_romance,mirror,tender,late_night,wind_light,low,3,4,3,3,13,borderline,lab,季节文艺；略书面但可取单
gen_000031,人间皆是浪漫,generated_candidate,daily_softness,daily_romance,mirror,warm,self_time,daily_life,low,3,3,3,2,11,borderline,lab,略空
gen_000032,生活值得热爱,generated_candidate,daily_softness,daily_romance,mirror,warm,self_time,daily_life,low,4,4,3,2,13,borderline,lab,熟语；类比热爱经久不息
gen_000033,每一刻都闪光,generated_candidate,daily_softness,daily_romance,delight,bright,self_time,wind_light,mid,3,3,3,2,11,borderline,lab,略口号
gen_000034,世界温柔待你,generated_candidate,daily_softness,daily_romance,bless,tender,self_time,gift_luck,low,3,3,3,2,11,borderline,lab,模板疗愈
gen_000045,你值得世间美好,generated_candidate,daily_softness,self_affirmation,bless,warm,self_time,gift_luck,low,3,3,3,2,11,borderline,lab,模板疗愈
gen_000059,勇敢向前冲,generated_candidate,daily_softness,gentle_departure,nudge,bright,restart,road_distance,high,4,4,3,3,14,good,lab,略口号；类比冲鸭
gen_000061,别再犹豫了,generated_candidate,daily_softness,gentle_departure,nudge,light,decision_wait,inner_state,mid,3,3,3,3,12,borderline,lab,软劝诫边缘；不如事缓则圆自然
gen_000063,大步向前走,generated_candidate,daily_softness,gentle_departure,nudge,warm,restart,road_distance,mid,3,3,3,2,11,borderline,lab,略口号
gen_000064,现在就出发吧,generated_candidate,daily_softness,gentle_departure,nudge,warm,restart,road_distance,mid,3,3,3,2,11,borderline,lab,7字+略命令感
gen_000069,今天可以出发,generated_candidate,daily_softness,gentle_departure,nudge,warm,restart,road_distance,mid,4,4,3,3,14,good,lab,可出发不催促
