phrase,theme_hint,source_type,source_note,status,rewrite_note
等一场雨,季节画面,GEN5,2026-06-22至2026-07-31夏季候选v3·雨与凉,accepted,用户第一轮选中
檐下听雨,季节画面,GEN5,2026-06-22至2026-07-31夏季候选v3·雨与凉,candidate,
雨声很近,诗性意象,GEN5,2026-06-22至2026-07-31夏季候选v3·雨与凉,candidate,
雨落杯沿,生活浪漫,GEN5,2026-06-22至2026-07-31夏季候选v3·雨与凉,candidate,
云低一点,诗性意象,GEN5,2026-06-22至2026-07-31夏季候选v3·雨与凉,candidate,
叶尖存雨,诗性意象,GEN5,2026-06-22至2026-07-31夏季候选v3·雨与凉,candidate,
凉意上岸,季节画面,GEN5,2026-06-22至2026-07-31夏季候选v3·雨与凉,candidate,
雨把心洗亮,治愈劝慰,GEN5,2026-06-22至2026-07-31夏季候选v3·雨与凉,candidate,
雨后有微光,前路祝福,GEN5,2026-06-22至2026-07-31夏季候选v3·雨与凉,accepted,用户第一轮选中
雨来时不必说话,治愈劝慰,GEN5,2026-06-22至2026-07-31夏季候选v3·雨与凉,candidate,
潮声入梦,诗性意象,GEN5,2026-06-22至2026-07-31夏季候选v3·雨与凉,candidate,
等云再低一点,诗性意象,GEN5,2026-06-22至2026-07-31夏季候选v3·雨与凉,candidate,
向晚听雨,季节画面,GEN5,2026-06-22至2026-07-31夏季候选v3·雨与凉,candidate,
雨把夏天放轻,季节画面,GEN5,2026-06-22至2026-07-31夏季候选v3·雨与凉,candidate,
风过长街,旅途浪漫,GEN5,2026-06-22至2026-07-31夏季候选v3·风与树影,accepted,用户第一轮选中
风翻旧页,人生感怀,GEN5,2026-06-22至2026-07-31夏季候选v3·风与树影,candidate,
风停杯中,生活浪漫,GEN5,2026-06-22至2026-07-31夏季候选v3·风与树影,candidate,
叶声很轻,诗性意象,GEN5,2026-06-22至2026-07-31夏季候选v3·风与树影,candidate,
树影慢下来,季节画面,GEN5,2026-06-22至2026-07-31夏季候选v3·风与树影,candidate,
坐进树影里,季节心情,GEN5,2026-06-22至2026-07-31夏季候选v3·风与树影,candidate,
影子变浅,季节画面,GEN5,2026-06-22至2026-07-31夏季候选v3·风与树影,candidate,
留一身风,生活浪漫,GEN5,2026-06-22至2026-07-31夏季候选v3·风与树影,candidate,
把风留给你,情感表达,GEN5,2026-06-22至2026-07-31夏季候选v3·风与树影,candidate,
风从杯沿经过,生活浪漫,GEN5,2026-06-22至2026-07-31夏季候选v3·风与树影,candidate,
风替日子留白,诗性意象,GEN5,2026-06-22至2026-07-31夏季候选v3·风与树影,candidate,
树下有一小片慢,诗性意象,GEN5,2026-06-22至2026-07-31夏季候选v3·风与树影,candidate,
风把热意吹散,季节画面,GEN5,2026-06-22至2026-07-31夏季候选v3·风与树影,candidate,
绿荫借你片刻,治愈劝慰,GEN5,2026-06-22至2026-07-31夏季候选v3·风与树影,candidate,
听蝉声,季节画面,GEN5,2026-06-22至2026-07-31夏季候选v3·长昼盛夏,accepted,用户第一轮选中
蝉声正满,季节画面,GEN5,2026-06-22至2026-07-31夏季候选v3·长昼盛夏,candidate,
长昼将尽,季节画面,GEN5,2026-06-22至2026-07-31夏季候选v3·长昼盛夏,accepted,用户第一轮选中
夏意半熟,季节心情,GEN5,2026-06-22至2026-07-31夏季候选v3·长昼盛夏,accepted,用户第一轮选中
日光慢饮,诗性意象,GEN5,2026-06-22至2026-07-31夏季候选v3·长昼盛夏,candidate,
午梦很浅,诗性意象,GEN5,2026-06-22至2026-07-31夏季候选v3·长昼盛夏,candidate,
白云晒得很软,诗性意象,GEN5,2026-06-22至2026-07-31夏季候选v3·长昼盛夏,candidate,
夏天藏在杯底,生活浪漫,GEN5,2026-06-22至2026-07-31夏季候选v3·长昼盛夏,candidate,
日光落杯底,诗性意象,GEN5,2026-06-22至2026-07-31夏季候选v3·长昼盛夏,candidate,
汗水发光,状态鼓励,GEN5,2026-06-22至2026-07-31夏季候选v3·长昼盛夏,accepted,用户第一轮选中
等一个凉快黄昏,季节心情,GEN5,2026-06-22至2026-07-31夏季候选v3·长昼盛夏,candidate,
把夏天喝慢点,生活态度,GEN5,2026-06-22至2026-07-31夏季候选v3·长昼盛夏,candidate,
太阳慢慢收声,诗性意象,GEN5,2026-06-22至2026-07-31夏季候选v3·长昼盛夏,candidate,
一口饮尽长昼,诗性意象,GEN5,2026-06-22至2026-07-31夏季候选v3·长昼盛夏,candidate,
旧页轻翻,人生感怀,GEN5,2026-06-22至2026-07-31夏季候选v3·年中转页,candidate,
新页留白,新起点,GEN5,2026-06-22至2026-07-31夏季候选v3·年中转页,candidate,
半程有风,人生感怀,GEN5,2026-06-22至2026-07-31夏季候选v3·年中转页,candidate,
再写一笔,新起点,GEN5,2026-06-22至2026-07-31夏季候选v3·年中转页,candidate,
慢慢起笔,新起点,GEN5,2026-06-22至2026-07-31夏季候选v3·年中转页,candidate,
路仍很宽,前路祝福,GEN5,2026-06-22至2026-07-31夏季候选v3·年中转页,candidate,
山河未晚,前路祝福,GEN5,2026-06-22至2026-07-31夏季候选v3·年中转页,candidate,
来日有回声,美好祝福,GEN5,2026-06-22至2026-07-31夏季候选v3·年中转页,candidate,
给七月留白,生活态度,GEN5,2026-06-22至2026-07-31夏季候选v3·年中转页,candidate,
把心放宽,从容劝慰,GEN5,2026-06-22至2026-07-31夏季候选v3·年中转页,candidate,
仍可重来,新起点,GEN5,2026-06-22至2026-07-31夏季候选v3·年中转页,candidate,
旧页被风轻轻翻,人生感怀,GEN5,2026-06-22至2026-07-31夏季候选v3·年中转页,candidate,
余下日子有光,美好祝福,GEN5,2026-06-22至2026-07-31夏季候选v3·年中转页,candidate,
把答案留给路,生活态度,GEN5,2026-06-22至2026-07-31夏季候选v3·年中转页,candidate,
歇会儿,从容劝慰,GEN5,2026-06-22至2026-07-31夏季候选v3·轻安慰,accepted,用户第一轮选中
缓缓也好,从容劝慰,GEN5,2026-06-22至2026-07-31夏季候选v3·轻安慰,candidate,
不急明亮,从容劝慰,GEN5,2026-06-22至2026-07-31夏季候选v3·轻安慰,candidate,
松一口气,治愈劝慰,GEN5,2026-06-22至2026-07-31夏季候选v3·轻安慰,candidate,
留点空白,生活态度,GEN5,2026-06-22至2026-07-31夏季候选v3·轻安慰,candidate,
夜色很软,诗性意象,GEN5,2026-06-22至2026-07-31夏季候选v3·轻安慰,candidate,
心有阴凉,治愈劝慰,GEN5,2026-06-22至2026-07-31夏季候选v3·轻安慰,candidate,
风替你说,治愈劝慰,GEN5,2026-06-22至2026-07-31夏季候选v3·轻安慰,candidate,
难过变薄,治愈劝慰,GEN5,2026-06-22至2026-07-31夏季候选v3·轻安慰,candidate,
倦意落座,治愈劝慰,GEN5,2026-06-22至2026-07-31夏季候选v3·轻安慰,candidate,
把灯调暗,治愈劝慰,GEN5,2026-06-22至2026-07-31夏季候选v3·轻安慰,candidate,
慢慢靠岸,治愈劝慰,GEN5,2026-06-22至2026-07-31夏季候选v3·轻安慰,candidate,
先不回答,从容劝慰,GEN5,2026-06-22至2026-07-31夏季候选v3·轻安慰,candidate,
心事靠岸,治愈劝慰,GEN5,2026-06-22至2026-07-31夏季候选v3·轻安慰,candidate,
给心事留一扇窗,治愈劝慰,GEN5,2026-06-22至2026-07-31夏季候选v3·轻安慰,candidate,
把今天放进风里,生活态度,GEN5,2026-06-22至2026-07-31夏季候选v3·轻安慰,candidate,
微光在前,前路祝福,GEN5,2026-06-22至2026-07-31夏季候选v3·微光希望,candidate,
晨光未迟,前路祝福,GEN5,2026-06-22至2026-07-31夏季候选v3·微光希望,candidate,
明朗将至,美好祝福,GEN5,2026-06-22至2026-07-31夏季候选v3·微光希望,candidate,
远方回信,前路祝福,GEN5,2026-06-22至2026-07-31夏季候选v3·微光希望,candidate,
花事有期,美好祝福,GEN5,2026-06-22至2026-07-31夏季候选v3·微光希望,candidate,
云开一线,前路祝福,GEN5,2026-06-22至2026-07-31夏季候选v3·微光希望,candidate,
星子未眠,诗性意象,GEN5,2026-06-22至2026-07-31夏季候选v3·微光希望,candidate,
路口有光,前路祝福,GEN5,2026-06-22至2026-07-31夏季候选v3·微光希望,candidate,
好梦靠岸,美好祝福,GEN5,2026-06-22至2026-07-31夏季候选v3·微光希望,candidate,
心愿有风,美好祝福,GEN5,2026-06-22至2026-07-31夏季候选v3·微光希望,candidate,
有些路慢慢才亮,前路祝福,GEN5,2026-06-22至2026-07-31夏季候选v3·微光希望,candidate,
等风把云吹开,前路祝福,GEN5,2026-06-22至2026-07-31夏季候选v3·微光希望,candidate,
你有清风,自我肯定,GEN5,2026-06-22至2026-07-31夏季候选v3·自我确认,candidate,
你亦成诗,自我肯定,GEN5,2026-06-22至2026-07-31夏季候选v3·自我确认,candidate,
你自成景,自我肯定,GEN5,2026-06-22至2026-07-31夏季候选v3·自我确认,candidate,
自在如风,生活态度,GEN5,2026-06-22至2026-07-31夏季候选v3·自我确认,candidate,
慢热无妨,从容劝慰,GEN5,2026-06-22至2026-07-31夏季候选v3·自我确认,candidate,
心软有光,自我肯定,GEN5,2026-06-22至2026-07-31夏季候选v3·自我确认,candidate,
相逢不晚,相见温情,GEN5,2026-06-22至2026-07-31夏季候选v3·自我确认,candidate,
你与清风同在,自我肯定,GEN5,2026-06-22至2026-07-31夏季候选v3·自我确认,candidate,
偷得半日凉,生活态度,GEN5,2026-06-22至2026-07-31夏季候选v3·轻巧口令,needs_rewrite,用户决定只保留补充候选“偷得浮生半日凉”
续一阵风,咖啡谐音与好运,GEN5,2026-06-22至2026-07-31夏季候选v3·轻巧口令,candidate,
快乐冒泡,即时心情,GEN5,2026-06-22至2026-07-31夏季候选v3·轻巧口令,accepted,用户第一轮选中
好运加冰,美好祝福,GEN5,2026-06-22至2026-07-31夏季候选v3·轻巧口令,accepted,用户第一轮选中
风来续杯,咖啡谐音与好运,GEN5,2026-06-22至2026-07-31夏季候选v3·轻巧口令,candidate,
今日偷凉,日常提醒,GEN5,2026-06-22至2026-07-31夏季候选v3·轻巧口令,candidate,
给好运留点冰,美好祝福,GEN5,2026-06-22至2026-07-31夏季候选v3·轻巧口令,candidate,
把快乐冰一下,即时心情,GEN5,2026-06-22至2026-07-31夏季候选v3·轻巧口令,candidate,
