phrase,theme_hint,source_type,source_note,status,rewrite_note
等一场雨,季节画面,GEN5,2026-06-22至2026-07-31夏季候选v3·雨与凉,promoted,用户第一轮选中
雨后有微光,前路祝福,GEN5,2026-06-22至2026-07-31夏季候选v3·雨与凉,promoted,用户第一轮选中
风过长街,旅途浪漫,GEN5,2026-06-22至2026-07-31夏季候选v3·风与树影,promoted,用户第一轮选中
听蝉声,季节画面,GEN5,2026-06-22至2026-07-31夏季候选v3·长昼盛夏,promoted,用户第一轮选中
长昼将尽,季节画面,GEN5,2026-06-22至2026-07-31夏季候选v3·长昼盛夏,promoted,用户第一轮选中
夏意半熟,季节心情,GEN5,2026-06-22至2026-07-31夏季候选v3·长昼盛夏,promoted,用户第一轮选中
汗水发光,状态鼓励,GEN5,2026-06-22至2026-07-31夏季候选v3·长昼盛夏,promoted,用户第一轮选中
歇会儿,从容劝慰,GEN5,2026-06-22至2026-07-31夏季候选v3·轻安慰,promoted,用户第一轮选中
快乐冒泡,即时心情,GEN5,2026-06-22至2026-07-31夏季候选v3·轻巧口令,promoted,用户第一轮选中
好运加冰,美好祝福,GEN5,2026-06-22至2026-07-31夏季候选v3·轻巧口令,promoted,用户第一轮选中
雨停再走,季节画面,GEN6,基于第一轮保留语句扩展·雨后,promoted,用户第二轮选中
偷得浮生半日凉,生活态度,GEN6,基于第一轮保留语句扩展·轻巧口令,promoted,用户第二轮改写选中；原句：偷半日凉
杯中有远山,诗性意象,GEN7,参考入选语句构成节奏画面·结构扩展,promoted,用户第三轮选中
青山不语,诗性意象,GEN7,参考入选语句构成节奏画面·结构扩展,promoted,用户第三轮选中
