phrase_id,csv_id,phrase_zh,phrase_en,theme,layer,evidence,approx_period,source_id,colorMoods,colorBan,onlyWhen,action,review_notes
sb_1,1,今日锦鲤,"Lucky koi, today",好运祝福,anchor,official_text,2019,S01,,,,keep,
sb_2,2,文艺青年,Artsy soul,身份标签,anchor,official_text,2019,S01,,,,keep,
sb_3,3,都挺好,All's well enough,流行文化与安慰,anchor,official_text,2019,S01,,,,keep,
sb_4,4,小天使啊,Little angel,亲昵身份,active,reported_order,2019,S02,,,,keep,
sb_5,5,能力不嫌多,Skills never hurt,鼓励,active,reported_test,2019,S03,,,,keep,
sb_6,6,锦鲤本鲤,Koi incarnate,好运身份,active,reported_ugc,2019,S04,,,,keep,
sb_7,7,凌波微步,Light on water,武侠玩梗,active,reported_ugc,2019,S04,,,,keep,
sb_8,8,魅力四射,Radiant charm,自我肯定,active,reported_ugc,2019,S04,,,,keep,
sb_9,9,这么优秀,So brilliant,自我肯定,active,reported_ugc,2019,S04,,,,keep,
sb_10,10,鸟语蝉鸣,"Birdsong, cicada hum",季节景象,active,reported_ugc,2019,S04,,,,keep,
sb_11,11,别人家孩子,That golden child,身份玩梗,active,reported_ugc,2019,S04,,,,keep,
sb_12,12,突然开心,Sudden joy,即时心情,active,reported_ugc,2019,S04,,,,keep,
sb_13,13,喜欢夏天,Summer's favorite,季节心情,active,reported_ugc,2019,S04,,,season:summer,keep,
sb_17,17,屠龙刀,Dragon-slaying blade,武侠玩梗,active,article_example,2019,S04,,,,keep,
sb_20,20,蔚蓝海面,Azure sea,夏日景象,active,reported_observation,2019,S05,,,,keep,
sb_21,21,去潜水吧,Go dive,夏日行动,active,reported_observation,2019,S05,,,,keep,
sb_22,22,万物生长,Everything grows,自然季节,active,reported_observation,2019,S05,,,,keep,
sb_23,23,水上乐园,Water park dreams,夏日场景,active,reported_observation,2019,S05,,,,keep,
sb_25,25,唯快不破,Speed wins all,速度与武侠,active,reported_example,2020,S06,,,,keep,
sb_26,26,他夏了夏天,He summered summer,歌曲与季节,active,reported_image,2020,S07,,,season:summer,keep,
sb_29,29,乌云散开,Clouds disperse,治愈鼓励,active,reported_ugc,2020,S07,,,,keep,
