id,phrase,approx_period,theme,source_id,evidence,notes
1,今日锦鲤,2019,好运祝福,S01,official_text,上线新闻中的官方举例
2,文艺青年,2019,身份标签,S01,official_text,上线新闻中的官方举例
3,都挺好,2019,流行文化与安慰,S01,official_text,上线新闻中的官方举例
4,小天使啊,2019,亲昵身份,S02,reported_order,报道中写明体验者实际获得
5,能力不嫌多,2019,鼓励,S03,reported_test,媒体体验啡快后列举
6,锦鲤本鲤,2019,好运身份,S04,reported_ugc,媒体根据网友分享列举
7,凌波微步,2019,武侠玩梗,S04,reported_ugc,媒体根据网友分享列举
8,魅力四射,2019,自我肯定,S04,reported_ugc,媒体根据网友分享列举
9,这么优秀,2019,自我肯定,S04,reported_ugc,媒体根据网友分享列举
10,鸟语蝉鸣,2019,季节景象,S04,reported_ugc,媒体根据网友分享列举
11,别人家孩子,2019,身份玩梗,S04,reported_ugc,媒体根据网友分享列举
12,突然开心,2019,即时心情,S04,reported_ugc,媒体根据网友分享列举
13,喜欢夏天,2019,季节心情,S04,reported_ugc,媒体根据网友分享列举
14,一杯敬月光,2019,夜晚浪漫,S04,reported_ugc,媒体根据网友分享列举
15,蜘蛛侠,2019,IP玩梗,S04,reported_ugc,媒体根据网友分享列举
16,芝麻开门,2019,暗号玩梗,S04,reported_ugc,媒体根据网友分享列举
17,屠龙刀,2019,武侠玩梗,S04,article_example,同篇对话示例中出现
18,月光宝盒,2019,影视玩梗,S04,article_example,同篇对话示例中出现
19,别人家的孩子,2019,身份玩梗,S04,article_example,同篇对话示例中出现；与“别人家孩子”并存待截图核验
20,蔚蓝海面,2019,夏日景象,S05,reported_observation,记者报道系统随机生成示例
21,去潜水吧,2019,夏日行动,S05,reported_observation,记者报道系统随机生成示例
22,万物生长,2019,自然季节,S05,reported_observation,记者报道系统随机生成示例
23,水上乐园,2019,夏日场景,S05,reported_observation,记者报道系统随机生成示例
24,六脉神剑,2020,武侠玩梗,S06,reported_example,多平台上线报道举例
25,唯快不破,2020,速度与武侠,S06,reported_example,多平台上线报道举例
26,他夏了夏天,2020,歌曲与季节,S07,reported_image,文章称图中口令
27,我是蜘蛛侠,2020,IP身份,S07,reported_ugc,媒体场景中列举
28,以秋风之名,2020,季节文艺,S07,reported_ugc,媒体提及用户获得口令
29,乌云散开,2020,治愈鼓励,S07,reported_ugc,媒体列举文艺好运口令
30,旅途甜甜,2020,出行祝福,S07,reported_ugc,媒体列举文艺好运口令
31,烦恼退散,2020,治愈祝福,S07,reported_ugc,媒体列举文艺好运口令
32,人间值得,2020,治愈肯定,S07,reported_ugc,媒体列举文艺好运口令
33,奥利给,2020,网络流行语,S08,reported_ugc,媒体展示网友晒单后在正文列举
34,妙啊妙啊,2020,网络口语,S08,reported_ugc,媒体展示网友晒单后在正文列举
35,左边一起画个龙,2020,歌词玩梗,S08,reported_ugc,媒体展示网友晒单后在正文列举
36,画画的北北,2021,歌词玩梗,S09,reported_image,文章正文称为啡快口令
37,重启试试,2021,日常玩梗,S09,reported_image,文章正文称为口令并解释用户误会
38,一起星辰大海,2021,远方浪漫,S09,reported_image,媒体配订单截图编号列举
39,最是一年春好处,2021,春季诗意,S09,reported_image,媒体配订单截图编号列举
40,新一年总晴天,2021,新年祝福,S09,reported_image,媒体配订单截图编号列举
41,冬日暖阳,2021,冬季温暖,S09,reported_image,媒体配订单截图编号列举
42,月是秋夜明,2021,秋夜诗意,S09,reported_image,媒体配订单截图编号列举
43,秋天开始喝暖饮,2021,秋季饮品,S09,reported_image,媒体配订单截图编号列举
44,最特别的存在,2021,自我肯定,S09,reported_image,媒体配订单截图编号列举
45,美好拉开帷幕,2021,希望鼓励,S09,reported_image,媒体配订单截图编号列举
46,和幸福撞满杯,2021,幸福与杯饮,S09,reported_image,媒体配订单截图编号列举
47,给你温暖阳光,2021,温暖治愈,S09,reported_image,媒体配订单截图编号列举
48,温暖无限供应,2021,温暖治愈,S09,reported_image,媒体配订单截图编号列举
49,平安喜乐,2021,平安祝福,S09,reported_image,媒体配订单截图编号列举
50,财神到家,2021,财运祝福,S09,reported_image,媒体配订单截图编号列举
51,岁岁常欢愉,2021,长久祝福,S09,reported_image,媒体配订单截图编号列举
