phrase,theme_hint,source_type,source_note,status,rewrite_note
日色渐凉,季节画面,GEN7,参考入选语句构成节奏画面·结构扩展,candidate,
把午后放轻,生活态度,GEN7,参考入选语句构成节奏画面·结构扩展,candidate,
半盏清凉,季节心情,GEN7,参考入选语句构成节奏画面·结构扩展,candidate,
树下慢饮,生活浪漫,GEN7,参考入选语句构成节奏画面·结构扩展,candidate,
云影过肩,诗性意象,GEN7,参考入选语句构成节奏画面·结构扩展,candidate,
杯中有远山,诗性意象,GEN7,参考入选语句构成节奏画面·结构扩展,accepted,用户第三轮选中
向晚归来,相见温情,GEN7,参考入选语句构成节奏画面·结构扩展,candidate,
一口小清欢,生活浪漫,GEN7,参考入选语句构成节奏画面·结构扩展,candidate,
天色慢慢低,季节画面,GEN7,参考入选语句构成节奏画面·结构扩展,candidate,
坐看云起,生活态度,GEN7,参考入选语句构成节奏画面·结构扩展,candidate,
把热意搁下,从容劝慰,GEN7,参考入选语句构成节奏画面·结构扩展,candidate,
凉从心上过,治愈劝慰,GEN7,参考入选语句构成节奏画面·结构扩展,candidate,
等一盏晚霞,季节画面,GEN7,参考入选语句构成节奏画面·结构扩展,candidate,
晚霞慢慢熟,季节画面,GEN7,参考入选语句构成节奏画面·结构扩展,candidate,
云边有回声,诗性意象,GEN7,参考入选语句构成节奏画面·结构扩展,candidate,
光阴半杯,人生感怀,GEN7,参考入选语句构成节奏画面·结构扩展,candidate,
一日将尽,人生感怀,GEN7,参考入选语句构成节奏画面·结构扩展,candidate,
明天尚早,从容劝慰,GEN7,参考入选语句构成节奏画面·结构扩展,candidate,
热闹先歇会儿,从容劝慰,GEN7,参考入选语句构成节奏画面·结构扩展,candidate,
小事会冒泡,即时心情,GEN7,参考入选语句构成节奏画面·结构扩展,candidate,
好事有冰声,美好祝福,GEN7,参考入选语句构成节奏画面·结构扩展,candidate,
心愿慢慢浮上来,美好祝福,GEN7,参考入选语句构成节奏画面·结构扩展,candidate,
今日宜无事,生活态度,GEN7,参考入选语句构成节奏画面·结构扩展,candidate,
把忙碌放凉,从容劝慰,GEN7,参考入选语句构成节奏画面·结构扩展,candidate,
偷来一寸闲,生活态度,GEN7,参考入选语句构成节奏画面·结构扩展,candidate,
闲来听叶,生活态度,GEN7,参考入选语句构成节奏画面·结构扩展,candidate,
叶底有清欢,生活浪漫,GEN7,参考入选语句构成节奏画面·结构扩展,candidate,
远处正晴,前路祝福,GEN7,参考入选语句构成节奏画面·结构扩展,candidate,
路边有小风,旅途浪漫,GEN7,参考入选语句构成节奏画面·结构扩展,candidate,
路还不着急,从容劝慰,GEN7,参考入选语句构成节奏画面·结构扩展,candidate,
慢行也到夏天,旅途浪漫,GEN7,参考入选语句构成节奏画面·结构扩展,candidate,
把心交给路,生活态度,GEN7,参考入选语句构成节奏画面·结构扩展,candidate,
山色入杯,诗性意象,GEN7,参考入选语句构成节奏画面·结构扩展,candidate,
青山不语,诗性意象,GEN7,参考入选语句构成节奏画面·结构扩展,accepted,用户第三轮选中
水声替你慢,治愈劝慰,GEN7,参考入选语句构成节奏画面·结构扩展,candidate,
把答案放远,生活态度,GEN7,参考入选语句构成节奏画面·结构扩展,candidate,
会有回音,美好祝福,GEN7,参考入选语句构成节奏画面·结构扩展,candidate,
有人在路上,相见温情,GEN7,参考入选语句构成节奏画面·结构扩展,candidate,
相逢过长街,相见温情,GEN7,参考入选语句构成节奏画面·结构扩展,candidate,
见面有微甜,相见温情,GEN7,参考入选语句构成节奏画面·结构扩展,candidate,
把欢喜加冰,美好祝福,GEN7,参考入选语句构成节奏画面·结构扩展,candidate,
余味慢慢开,生活浪漫,GEN7,参考入选语句构成节奏画面·结构扩展,candidate,
冰声落杯底,季节心情,GEN7,参考入选语句构成节奏画面·结构扩展,candidate,
小小好运上浮,美好祝福,GEN7,参考入选语句构成节奏画面·结构扩展,candidate,
好运正在化冰,美好祝福,GEN7,参考入选语句构成节奏画面·结构扩展,candidate,
一杯留给明天,美好祝福,GEN7,参考入选语句构成节奏画面·结构扩展,candidate,
星子落得很慢,诗性意象,GEN7,参考入选语句构成节奏画面·结构扩展,candidate,
夜色过窗,诗性意象,GEN7,参考入选语句构成节奏画面·结构扩展,candidate,
月光坐一会儿,诗性意象,GEN7,参考入选语句构成节奏画面·结构扩展,candidate,
把灯火看远,生活态度,GEN7,参考入选语句构成节奏画面·结构扩展,candidate,
晚一点也好,从容劝慰,GEN7,参考入选语句构成节奏画面·结构扩展,candidate,
心事不赶路,治愈劝慰,GEN7,参考入选语句构成节奏画面·结构扩展,candidate,
让心事靠边,治愈劝慰,GEN7,参考入选语句构成节奏画面·结构扩展,candidate,
半日归自己,生活态度,GEN7,参考入选语句构成节奏画面·结构扩展,candidate,
一会儿就好,从容劝慰,GEN7,参考入选语句构成节奏画面·结构扩展,candidate,
慢慢有答案,治愈劝慰,GEN7,参考入选语句构成节奏画面·结构扩展,candidate,
不必急着晴,从容劝慰,GEN7,参考入选语句构成节奏画面·结构扩展,candidate,
云会自己开,前路祝福,GEN7,参考入选语句构成节奏画面·结构扩展,candidate,
清甜在后头,美好祝福,GEN7,参考入选语句构成节奏画面·结构扩展,candidate,
心上有余凉,治愈劝慰,GEN7,参考入选语句构成节奏画面·结构扩展,candidate,
故事慢慢熟,美好祝福,GEN7,参考入选语句构成节奏画面·结构扩展,candidate,
还会有新鲜事,美好祝福,GEN7,参考入选语句构成节奏画面·结构扩展,candidate,
把愿望放冰上,美好祝福,GEN7,参考入选语句构成节奏画面·结构扩展,candidate,
轻轻碰杯,生活浪漫,GEN7,参考入选语句构成节奏画面·结构扩展,candidate,
一口云朵,诗性意象,GEN7,参考入选语句构成节奏画面·结构扩展,candidate,
小路拐个弯,旅途浪漫,GEN7,参考入选语句构成节奏画面·结构扩展,candidate,
山风晚些到,旅途浪漫,GEN7,参考入选语句构成节奏画面·结构扩展,candidate,
今日不多言,生活态度,GEN7,参考入选语句构成节奏画面·结构扩展,candidate,
听见花开,季节画面,GEN7,参考入选语句构成节奏画面·结构扩展,candidate,
