id,text,source_type,era,emotion_theme,intent,tone,scene,imagery,energy_level,speak_score,sign_feel,delivery_score,distinct_score,scenario_gate,total_score,confidence,final_bucket,editor_note
gen_000001,宇宙会拥抱你,generated_candidate,daily_softness,light_comfort,bless,warm,self_time,gift_luck,low,4,4,3,2,pass,13,borderline,lab,熟语疗愈；可取单，不宜anchor
gen_000002,你值得被温柔,generated_candidate,daily_softness,light_comfort,bless,tender,self_time,gift_luck,low,4,3,3,2,pass,12,borderline,lab,模板疗愈；降lab
gen_000003,一切都会好的,generated_selected,daily_softness,light_comfort,hold,warm,after_setback,none_minimal,low,5,5,4,2,pass,16,good,active,极熟好运签；取单极自然
gen_000004,心慢自有答案,generated_rejected,daily_softness,light_comfort,soothe,calm,decision_wait,inner_state,low,,,,,hard_reject,,reject,reject,与真实样本心缓自有答案撞车
gen_000005,慢下来就会好,generated_rejected,daily_softness,light_comfort,soothe,calm,self_time,inner_state,low,,,,,hard_reject,,reject,reject,与锚点慢下来看世界过近
gen_000006,别着急放轻松,generated_selected,daily_softness,light_comfort,soothe,light,work_pause,inner_state,low,4,4,4,3,pass,15,good,active,轻劝诫；类比记得微笑
gen_000007,今天也要加油,generated_selected,daily_softness,light_comfort,nudge,playful,work_pause,none_minimal,mid,5,5,4,3,pass,17,core,active,轻励志；类比冲鸭冲鸭
gen_000008,治愈正在发生,generated_candidate,daily_softness,light_comfort,hold,warm,restart,gift_luck,low,4,4,3,3,pass,14,good,lab,正在发生结构；控密度
gen_000009,先缓一缓,generated_selected,daily_softness,light_comfort,soothe,calm,work_pause,inner_state,low,5,4,5,4,pass,18,core,anchor,取单自然；偏日常softness
gen_000010,不必赶,generated_selected,daily_softness,light_comfort,hold,light,commute,none_minimal,low,5,5,4,5,pass,19,core,anchor,极短签感；通勤场景准
gen_000011,心可以松,generated_selected,daily_softness,light_comfort,soothe,calm,self_time,inner_state,low,5,4,5,4,pass,18,core,active,内在状态；念法顺
gen_000012,今日且慢,generated_selected,daily_softness,light_comfort,hold,calm,work_pause,season_weather,low,4,4,4,4,pass,16,good,active,时间感口令
gen_000013,此刻够用了,generated_selected,daily_softness,light_comfort,hold,tender,decision_wait,inner_state,low,5,4,5,4,pass,18,core,anchor,灵魂向；取单亦成立
gen_000014,轻轻放过,generated_selected,daily_softness,light_comfort,soothe,tender,after_setback,inner_state,low,5,4,5,4,pass,18,core,anchor,四字安慰；非祝语模板
gen_000015,美好就在前方,generated_candidate,daily_softness,soft_hope,bless,bright,restart,road_distance,mid,4,4,3,2,pass,13,borderline,lab,路上类换皮；控密度
gen_000016,你终将遇见光,generated_candidate,daily_softness,soft_hope,bless,bright,decision_wait,wind_light,mid,3,3,3,2,pass,11,borderline,lab,略书面；可取单但不优
gen_000017,希望不会缺席,generated_candidate,daily_softness,soft_hope,hold,warm,decision_wait,inner_state,low,3,3,3,2,pass,11,borderline,lab,抽象；签感一般
gen_000018,好运马上就来,generated_candidate,daily_softness,soft_hope,bless,bright,decision_wait,gift_luck,mid,4,4,3,2,pass,13,borderline,lab,好事将至同类
gen_000019,曙光终会照耀,generated_candidate,daily_softness,soft_hope,bless,bright,restart,wind_light,mid,3,3,2,2,pass,10,reject,reject,略书面
gen_000020,未来一定更好,generated_candidate,daily_softness,soft_hope,bless,warm,restart,none_minimal,mid,3,3,2,2,pass,10,reject,reject,过满结论；取单也偏空
gen_000021,惊喜正在路上,generated_selected,daily_softness,soft_hope,hold,warm,decision_wait,gift_luck,low,5,5,4,2,pass,16,good,active,品类语法；真实样本同结构
gen_000022,光明就在前方,generated_candidate,daily_softness,soft_hope,bless,bright,restart,wind_light,mid,3,3,3,2,pass,11,borderline,lab,模板化
gen_000023,日子会亮一点,generated_selected,daily_softness,soft_hope,nudge,bright,decision_wait,wind_light,mid,5,4,4,4,pass,17,core,active,过程句
