id,text,source_type,era,emotion_theme,intent,tone,scene,imagery,energy_level,speak_score,sign_feel,delivery_score,distinct_score,total_score,confidence,layer,editor_note
gen_000010,不必赶,generated_selected,daily_softness,light_comfort,hold,light,commute,none_minimal,low,5,5,4,5,19,core,anchor,极短签感；通勤场景准
gen_000009,先缓一缓,generated_selected,daily_softness,light_comfort,soothe,calm,work_pause,inner_state,low,5,4,5,4,18,core,anchor,取单自然；偏日常softness
gen_000011,心可以松,generated_selected,daily_softness,light_comfort,soothe,calm,self_time,inner_state,low,5,4,5,4,18,core,active,内在状态；念法顺
gen_000013,此刻够用了,generated_selected,daily_softness,light_comfort,hold,tender,decision_wait,inner_state,low,5,4,5,4,18,core,anchor,灵魂向；取单亦成立
gen_000014,轻轻放过,generated_selected,daily_softness,light_comfort,soothe,tender,after_setback,inner_state,low,5,4,5,4,18,core,anchor,四字安慰；非祝语模板
gen_000007,今天也要加油,generated_selected,daily_softness,light_comfort,nudge,playful,work_pause,none_minimal,mid,5,5,4,3,17,core,active,轻励志；类比冲鸭冲鸭
gen_000025,风会转向,generated_selected,daily_softness,soft_hope,nudge,light,after_setback,wind_light,mid,5,5,4,5,19,core,anchor,短签+画面
gen_000024,再等一小会儿,generated_selected,daily_softness,soft_hope,hold,calm,decision_wait,inner_state,low,5,5,4,4,18,core,active,等待场景极准
gen_000023,日子会亮一点,generated_selected,daily_softness,soft_hope,nudge,bright,decision_wait,wind_light,mid,5,4,4,4,17,core,active,过程句
gen_000026,好事还在酝酿,generated_selected,daily_softness,soft_hope,hold,warm,decision_wait,gift_luck,low,4,4,4,4,16,good,active,过程感
gen_000021,惊喜正在路上,generated_selected,daily_softness,soft_hope,hold,warm,decision_wait,gift_luck,low,5,5,4,2,16,good,active,品类语法；真实样本同结构
gen_000028,缓一缓就会开,generated_selected,daily_softness,soft_hope,nudge,warm,season_change,season_weather,mid,4,4,4,4,16,good,active,季节双关
gen_000040,路边有光,generated_selected,daily_softness,daily_romance,mirror,bright,rainy_day,wind_light,low,5,5,4,5,19,core,anchor,极简签
gen_000037,风里有春天,generated_selected,daily_softness,daily_romance,delight,light,season_change,wind_light,low,5,5,4,5,19,core,anchor,画面轻；签感强
gen_000039,阳光刚好路过,generated_selected,daily_softness,daily_romance,delight,tender,self_time,wind_light,low,5,4,4,5,18,core,active,拟人轻
gen_000038,今天适合慢走,generated_selected,daily_softness,daily_romance,hold,calm,commute,daily_life,low,5,4,4,4,17,core,active,生活动作句
gen_000036,奔赴人间烟火,generated_selected,daily_softness,daily_romance,delight,warm,travel,daily_life,mid,4,4,4,4,16,good,active,7字；类比总有远方可奔赴
gen_000042,寻常也温柔,generated_selected,daily_softness,daily_romance,mirror,tender,self_time,daily_life,low,4,4,4,4,16,good,active,反宏大
gen_000053,不必再证明,generated_selected,daily_softness,self_affirmation,soothe,cool,work_pause,inner_state,mid,5,4,5,5,19,core,anchor,取单略酷但成立
gen_000051,你已经够好,generated_selected,daily_softness,self_affirmation,mirror,warm,self_time,inner_state,low,5,4,5,4,18,core,active,自我确认
gen_000052,此刻就挺好,generated_selected,daily_softness,self_affirmation,hold,calm,self_time,inner_state,low,5,4,4,4,17,core,active,时间锚定
gen_000056,这样也很好,generated_selected,daily_softness,self_affirmation,hold,warm,self_time,none_minimal,low,5,4,4,4,17,core,active,接纳现状
gen_000054,自己站着就好,generated_selected,daily_softness,self_affirmation,hold,calm,after_setback,inner_state,low,4,4,4,4,16,good,active,体面安慰
gen_000068,先走再说,generated_selected,daily_softness,gentle_departure,nudge,light,restart,road_distance,mid,5,5,4,5,19,core,active,口语签；极自然
gen_000066,慢慢走也行,generated_selected,daily_softness,gentle_departure,hold,calm,restart,road_distance,low,5,5,5,4,19,core,active,允许慢；取单很顺
gen_000070,走一步也好,generated_selected,daily_softness,gentle_departure,nudge,tender,restart,road_distance,low,5,4,5,4,18,core,active,低门槛推动
gen_000065,先迈一小步,generated_selected,daily_softness,gentle_departure,nudge,warm,restart,road_distance,mid,5,4,4,4,17,core,active,轻推
gen_000067,路还在脚下,generated_selected,daily_softness,gentle_departure,mirror,calm,decision_wait,road_distance,low,4,4,4,4,16,good,active,看当下
gen_000003,一切都会好的,generated_selected,daily_softness,light_comfort,hold,warm,after_setback,none_minimal,low,5,5,4,2,16,good,active,极熟好运签；取单极自然
gen_000006,别着急放轻松,generated_selected,daily_softness,light_comfort,soothe,light,work_pause,inner_state,low,4,4,4,3,15,good,active,轻劝诫；类比记得微笑
